source_manufacturer,canonical_manufacturer,model_name,effective_length_raw,effective_length_source,mounting_distance_raw,mounting_distance_source,workbook_notes,action,reason
Project,Pro-Ject,Xtension 12 Evolution,305,Project website,,,,skipped,filtered_non_tonearm_row
Reed,Reed,"1X 10.5""",267,Reed website,251.6,Reed website,,skipped,already_in_research_targets
Reed,Reed,"1X 12""",308.8,Reed website,295.6,Reed website,Use 308.8 trace,skipped,already_in_research_targets
Reed,Reed,"2G 10.5""",267,Reed website,251.6,Reed website,,skipped,already_in_research_targets
Reed,Reed,"2G 12""",308.8,Reed website,295.6,Reed website,Use 308.8 trace,skipped,already_in_research_targets
Reed,Reed,"2G 9""",240,Reed website,223,Reed website,,skipped,already_in_research_targets
Reed,Reed,"3P 10.5""",267,Reed website,251.6,Reed website,,skipped,already_in_research_targets
Reed,Reed,"3P 12""",308.8,Reed website,295.6,Reed website,Use 308.8 trace,skipped,already_in_research_targets
Reed,Reed,"3P 9""",240,Reed website,223,Reed website,,skipped,already_in_research_targets
Rega,Rega,RB3000,239.3,Fremer over phone 9/14/21,222,Fremer over phone 9/14/21,Rega trying to use Stevenson???,skipped,already_in_tonearm_models
Rega,Rega,RB2000,239.3,calculated,222,rega website,,skipped,already_in_tonearm_models
Rega,Rega,RB220,239.3,calculated,222,rega website,,skipped,already_in_tonearm_models
Rega,Rega,RB330,239.3,calculated,222,rega website,,skipped,already_in_tonearm_models
Rega,Rega,RB880,239.3,calculated,222,rega website,,skipped,already_in_tonearm_models
Rega,Rega,RB700,239.3,calculated,222,VinylEngine.com,,skipped,already_in_tonearm_models
SAT,SAT,CF1 09,SAT 235,SAT website,212.2,SAT website,SAT USES ALTERNATIVE INNERMOST AND OUTERMOST GROOVES. P>S FIGURES ARE REFLECTIVE OF THOSE. Consider including SAT arc AND standard B & L arcs,skipped,already_in_research_targets
SAT,SAT,CF1 12,SAT 297.6,SAT website,280,SAT website,SAT USES ALTERNATIVE INNERMOST AND OUTERMOST GROOVES. P>S FIGURES ARE REFLECTIVE OF THOSE. Consider including SAT arc AND standard B & L arcs,skipped,already_in_research_targets
SAT,SAT,LM 09,SAT 235,SAT website,212.2,SAT website,SAT USES ALTERNATIVE INNERMOST AND OUTERMOST GROOVES. P>S FIGURES ARE REFLECTIVE OF THOSE. Consider including SAT arc AND standard B & L arcs,skipped,already_in_tonearm_models
SAT,SAT,LM 12,SAT 297.6,SAT website,280,SAT website,SAT USES ALTERNATIVE INNERMOST AND OUTERMOST GROOVES. P>S FIGURES ARE REFLECTIVE OF THOSE. Consider including SAT arc AND standard B & L arcs,skipped,already_in_tonearm_models
Schick,Schick,"12""",317,Schick Website,304.75,Schick Website,close enough,skipped,already_in_research_targets
Schick,Schick,"10.5""",284.4,calculated,270,Schick Website,,skipped,already_in_research_targets
Schick,Schick,"9""",245,Schick Website,229,Schick Website,Need arc! Agreed - but better to make a 247mm as I've seen a number of arms needing this,skipped,already_in_research_targets
Schroeder,Schroeder,CB,239.3,Schroeder website,222,Schroeder website,,skipped,already_in_research_targets
Schroeder,Schroeder,CB-L,282,Schroeder website,267.5,Schroeder website,,skipped,already_in_research_targets
Schroeder,Schroeder,Model B,282,Schroeder website,267.5,Schroeder website,,skipped,already_in_research_targets
Schroeder,Schroeder,No. 2,239.3,Schroeder website,222,Schroeder website,,skipped,already_in_research_targets
Schroeder,Schroeder,Reference,305,Email from Frank Schroeder,,,Contact Frank Schroeder,skipped,already_in_tonearm_models
SME,SME,3009-R,233.15,http://www.vinyl-lebt.de/SME/Technical/SME_3009Rrueck.jpg,215.4,http://www.vinyl-lebt.de/SME/Technical/SME_3009Rrueck.jpg,,skipped,already_in_research_targets
SME,SME,3010-R,239.3,http://www.vinyl-lebt.de/SME/Technical/SME_3009Rrueck.jpg,222.06,calculated,,skipped,already_in_research_targets
SME,SME,3012-R,308.8,http://www.vinyl-lebt.de/SME/Technical/SME_3009Rrueck.jpg,295.6,http://www.vinyl-lebt.de/SME/Technical/SME_3009Rrueck.jpg,,skipped,already_in_research_targets
SME,SME,Model 309,233.15,calculated,215.35,SME website,,skipped,already_in_research_targets
SME,SME,Model 310,239.3,SME website,222,SME website,Check these dims on calculation sheet. Could be Loefgren? They don't agree with Rega dims of same PS Len,skipped,already_in_research_targets
SME,SME,Model 312 S,308.8,SME website,295.6,SME website,,skipped,already_in_research_targets
SME,SME,Series 3,233.15,http://www.vinyl-lebt.de/SME/Technical/SME_3009Rrueck.jpg,215.4,http://www.vinyl-lebt.de/SME/Technical/SME_3009Rrueck.jpg,,skipped,already_in_research_targets
SME,SME,Series IV,233.15,SME website,215.35,SME website,,skipped,already_in_research_targets
SME,SME,Series M2-10,239.3,SME website,222,SME website,,skipped,already_in_research_targets
SME,SME,Series M2-12 & M2-12R,308.8,SME website,295.6,SME website,,skipped,already_in_research_targets
SME,SME,Series M2-9 & M2-9R,233.15,SME website,215.4,SME website,,skipped,already_in_research_targets
SME,SME,Series V,233.15,SME website,215.35,SME website,,skipped,already_in_tonearm_models
SME,SME,Series V-12,308.8,SME website,295.6,SME website,,skipped,already_in_research_targets
